Well_ID,Field,Block,Week_1_Pressure_psi,Week_2_Pressure_psi,Week_3_Pressure_psi,Week_4_Pressure_psi,Week_on_Week_Change_pct,Production_bbl_per_day,Water_Cut_pct
W-101,FIELD-A,BLOCK-1,2450,2435,2410,2398,-0.50,1240,8
W-102,FIELD-A,BLOCK-1,2380,2240,2105,1980,-5.92,980,12
W-103,FIELD-A,BLOCK-1,2510,2505,2498,2491,-0.28,1380,6
W-104,FIELD-A,BLOCK-2,2150,2148,2145,2142,-0.14,890,18
W-105,FIELD-A,BLOCK-2,2620,2598,2575,2550,-0.97,1520,4
W-106,FIELD-A,BLOCK-2,2080,1920,1750,1610,-8.18,720,22
W-201,FIELD-B,BLOCK-3,2780,2775,2770,2768,-0.14,1680,3
W-202,FIELD-B,BLOCK-3,2450,2310,2180,2050,-5.67,1120,9
W-203,FIELD-B,BLOCK-3,2390,2385,2378,2372,-0.25,1050,11
W-204,FIELD-B,BLOCK-3,2580,2475,2380,2280,-4.05,1390,7
W-205,FIELD-B,BLOCK-4,1980,1970,1965,1958,-0.37,640,28
W-206,FIELD-B,BLOCK-4,2120,2110,2098,2090,-0.47,810,21
W-301,FIELD-C,BLOCK-5,2890,2865,2840,2820,-0.81,1820,2
W-302,FIELD-C,BLOCK-5,2710,2680,2655,2630,-1.00,1610,5
W-303,FIELD-C,BLOCK-5,2540,2410,2275,2140,-5.78,1280,14
W-304,FIELD-C,BLOCK-6,2480,2470,2465,2460,-0.27,1200,16
W-305,FIELD-C,BLOCK-6,2640,2630,2620,2615,-0.32,1490,8
W-306,FIELD-C,BLOCK-6,1950,1810,1660,1510,-8.62,560,31
W-401,FIELD-D,BLOCK-7,2870,2860,2850,2845,-0.29,1750,4
W-402,FIELD-D,BLOCK-7,2240,2230,2218,2210,-0.45,910,19
W-403,FIELD-D,BLOCK-7,2380,2370,2362,2358,-0.31,1080,13
W-404,FIELD-D,BLOCK-8,2510,2380,2245,2110,-5.65,1240,10
W-405,FIELD-D,BLOCK-8,2680,2670,2658,2650,-0.37,1580,6
W-406,FIELD-D,BLOCK-8,2090,1920,1730,1560,-9.46,640,27
